frame,ax,ay,acceleration_magnitude
2,-0.00,-0.02,0.02
3,-0.00,0.01,0.01
4,0.01,-0.01,0.01
5,0.03,-0.00,0.03
6,-0.03,0.01,0.03
7,0.13,0.04,0.13
8,0.13,0.01,0.13
9,-0.40,0.06,0.41
10,0.36,-0.05,0.37
11,-0.15,-0.17,0.23
12,-0.42,0.18,0.45
13,0.34,0.27,0.44
14,0.05,-0.22,0.23
15,-0.06,-0.38,0.38
16,-0.16,0.78,0.80
17,0.70,0.33,0.77
18,-0.56,-1.36,1.47
19,-0.26,0.34,0.43
20,0.41,0.88,0.97
21,-0.08,-0.68,0.69
22,-0.77,0.46,0.89
23,0.42,-0.38,0.57
24,-0.49,0.08,0.50
25,1.02,-0.64,1.20
26,-0.25,0.31,0.40
27,-0.18,0.97,0.98
28,-0.59,-0.94,1.10
29,0.77,-0.30,0.83
30,-1.08,0.32,1.12
31,2.07,-0.26,2.09
32,-0.08,-0.43,0.44
33,-1.63,2.25,2.78
34,1.83,-2.49,3.10
35,-1.79,2.23,2.86
36,-0.08,0.18,0.19
37,0.97,-2.41,2.60
38,-0.12,2.11,2.11
39,-0.10,-1.98,1.98
40,-0.20,0.71,0.74
41,0.80,-0.15,0.82
42,0.48,0.30,0.57
43,-1.67,0.12,1.68
44,-0.41,-1.01,1.09
45,1.16,1.44,1.85
46,-1.39,-0.50,1.48
47,0.71,0.46,0.85
48,1.16,0.23,1.18
49,0.09,-1.69,1.69
50,-0.42,0.81,0.92
51,-0.12,0.79,0.80
52,-0.41,-1.23,1.30
53,-0.49,1.17,1.27
54,0.45,-0.73,0.86
55,-0.33,0.96,1.01
56,0.74,-0.88,1.15
57,0.14,-0.05,0.15
58,0.42,-0.22,0.48
59,-1.19,0.52,1.29
60,1.24,-0.12,1.25
61,-1.51,-0.02,1.51
62,1.74,-0.20,1.75
63,-1.16,0.32,1.21
64,-0.37,0.11,0.39
65,1.22,-0.59,1.36
66,-0.38,0.60,0.71
67,-0.47,-0.32,0.57
68,0.16,0.21,0.26
69,-0.04,-0.53,0.54
70,-0.31,0.42,0.52
71,-0.32,-0.45,0.55
72,0.37,0.70,0.79
73,0.63,-0.61,0.87
74,0.00,0.30,0.30
75,0.42,-0.45,0.61
76,-1.87,0.59,1.96
77,2.15,-0.36,2.18
78,0.13,0.27,0.29
79,-0.95,0.56,1.10
80,-0.76,-0.61,0.98
81,0.43,-0.29,0.52
82,-0.56,0.37,0.68
83,0.14,-0.73,0.75
84,2.96,0.88,3.08
85,-2.29,0.65,2.39
86,0.18,-1.13,1.14
87,-0.62,0.14,0.64
88,0.84,-0.67,1.07
89,-0.63,0.38,0.74
90,-0.11,0.16,0.19
91,0.68,-0.18,0.70
92,-0.46,0.04,0.47
93,-0.12,0.95,0.96
94,1.08,-1.76,2.06
95,-1.23,2.72,2.99
96,0.58,-2.20,2.27
97,-0.28,0.63,0.69
98,0.05,0.11,0.12
99,-1.63,-0.21,1.64
100,1.93,0.05,1.93
101,-0.36,0.13,0.39
102,-0.17,-0.37,0.41
103,1.17,0.15,1.18
104,-0.90,0.29,0.94
105,-0.25,1.61,1.63
106,0.12,-1.44,1.45
107,0.04,-0.20,0.21
108,-0.51,-0.02,0.51
109,0.88,-1.25,1.53
110,-0.31,1.27,1.31
111,0.56,0.58,0.80
112,-0.62,-0.97,1.15
113,0.01,0.39,0.39
114,-1.78,0.61,1.88
115,1.14,-0.67,1.32
116,0.66,0.06,0.66
117,0.93,-0.23,0.96
118,-1.32,0.00,1.32
119,0.35,0.24,0.42
120,-0.17,1.19,1.21
121,-0.13,-0.45,0.47
122,0.34,-0.78,0.85
123,1.26,0.09,1.26
124,-1.63,0.21,1.65
125,0.33,-0.23,0.40
126,-0.09,0.10,0.13
127,0.24,0.32,0.39
128,-0.10,-0.48,0.49
129,-0.31,-1.21,1.25
130,0.92,1.05,1.40
131,-0.65,0.20,0.68
132,-0.86,0.09,0.87
133,0.99,0.16,1.00
134,-0.09,-0.27,0.28
135,1.19,-1.31,1.77
136,-1.15,1.67,2.03
137,-0.09,-0.30,0.31
138,0.09,0.41,0.42
139,-0.28,-0.23,0.36
140,0.17,-0.31,0.36
