frame,area_pixels,area_cm2,areal_density_g_cm2
0,16129.0,10.0806,14.92963
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,126.5,0.0791,1903.557312
11,0,0,0
12,0,0,0
13,101.5,0.0634,2372.413793
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,111.0,0.0694,2169.369369
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,241.0,0.1506,999.170124
32,773.0,0.4831,311.513583
33,1192.0,0.745,202.013423
34,1550.5,0.9691,155.30474
35,1581.5,0.9884,152.260512
36,1716.5,1.0728,140.285465
37,1637.5,1.0234,147.053435
38,1600.0,1.0,150.5
39,1535.0,0.9594,156.872964
40,1665.5,1.0409,144.581207
41,1643.5,1.0272,146.51658
42,1662.5,1.0391,144.842105
43,1616.0,1.01,149.009901
44,1706.0,1.0663,141.148886
45,1466.0,0.9163,164.25648
46,1018.0,0.6363,236.54224
47,596.5,0.3728,403.688181
48,546.0,0.3413,441.025641
49,517.5,0.3234,465.31401
50,363.0,0.2269,663.360882
51,371.0,0.2319,649.056604
52,340.5,0.2128,707.195301
53,235.5,0.1472,1022.505308
54,186.5,0.1166,1291.152815
55,156.0,0.0975,1543.589744
56,254.5,0.1591,946.168959
57,264.5,0.1653,910.396975
58,291.0,0.1819,827.491409
59,284.5,0.1778,846.397188
60,327.5,0.2047,735.267176
61,1260.5,0.7878,191.035303
62,1479.5,0.9247,162.757688
63,1499.5,0.9372,160.586862
64,1499.5,0.9372,160.586862
65,1455.0,0.9094,165.498282
66,1543.0,0.9644,156.059624
67,1403.0,0.8769,171.632217
68,1241.0,0.7756,194.037067
69,825.0,0.5156,291.878788
70,241.5,0.1509,997.101449
71,210.5,0.1316,1143.942993
72,231.0,0.1444,1042.424242
73,189.0,0.1181,1274.074074
74,216.0,0.135,1114.814815
75,147.0,0.0919,1638.095238
76,156.5,0.0978,1538.658147
77,166.0,0.1038,1450.60241
78,210.0,0.1313,1146.666667
79,182.5,0.1141,1319.452055
80,226.5,0.1416,1063.134658
81,343.5,0.2147,701.018923
82,622.5,0.3891,386.827309
83,834.5,0.5216,288.556022
84,939.5,0.5872,256.306546
85,965.0,0.6031,249.533679
86,993.5,0.6209,242.37544
87,899.5,0.5622,267.70428
88,1002.5,0.6266,240.199501
89,911.0,0.5694,264.324918
90,932.5,0.5828,258.230563
91,828.5,0.5178,290.645745
92,797.5,0.4984,301.943574
93,763.5,0.4772,315.389653
94,788.5,0.4928,305.389981
95,815.5,0.5097,295.27897
96,915.0,0.5719,263.169399
97,694.0,0.4338,346.974063
98,652.0,0.4075,369.325153
99,1046.5,0.6541,230.100334
100,794.5,0.4966,303.0837
101,770.5,0.4816,312.524335
102,828.0,0.5175,290.821256
103,759.0,0.4744,317.259552
104,731.5,0.4572,329.186603
105,944.5,0.5903,254.949709
106,1002.0,0.6263,240.319361
107,991.0,0.6194,242.986882
108,1021.5,0.6384,235.731767
109,1066.0,0.6663,225.891182
110,1066.0,0.6663,225.891182
111,950.5,0.5941,253.340347
112,1068.5,0.6678,225.362658
113,1071.5,0.6697,224.731685
114,1289.5,0.8059,186.739046
115,1296.5,0.8103,185.730814
116,1303.0,0.8144,184.804298
117,1491.0,0.9319,161.502347
118,1545.0,0.9656,155.857605
119,1548.5,0.9678,155.505328
120,1633.0,1.0206,147.458665
121,1596.0,0.9975,150.877193
122,1596.0,0.9975,150.877193
123,1649.0,1.0306,146.027896
124,1602.0,1.0013,150.31211
125,1602.0,1.0013,150.31211
126,2117.5,1.3234,113.719008
127,2138.5,1.3366,112.602291
128,2138.5,1.3366,112.602291
129,2196.5,1.3728,109.628955
130,2111.5,1.3197,114.04215
131,2111.5,1.3197,114.04215
132,1723.5,1.0772,139.715695
133,1749.0,1.0931,137.678674
134,1744.0,1.09,138.073394
135,1733.0,1.0831,138.949798
136,1781.5,1.1134,135.166994
137,1751.0,1.0944,137.521416
138,1793.0,1.1206,134.300056
139,1704.5,1.0653,141.273101
140,1653.0,1.0331,145.674531
141,1583.0,0.9894,152.116235
142,1546.5,0.9666,155.706434
143,1511.5,0.9447,159.311942
144,1697.5,1.0609,141.85567
145,1639.0,1.0244,146.918853
146,1624.0,1.015,148.275862
147,1446.0,0.9038,166.528354
148,1381.5,0.8634,174.303294
149,1249.5,0.7809,192.717087
150,684.0,0.4275,352.046784
151,739.0,0.4619,325.845737
152,738.0,0.4613,326.287263
153,749.5,0.4684,321.280854
154,443.5,0.2772,542.953777
