frame,area_pixels,area_cm2
0,16129.0,40.3225
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,597.0,1.4925
32,826.0,2.065
33,1264.5,3.1613
34,1578.0,3.945
35,1634.0,4.085
36,1749.0,4.3725
37,1665.0,4.1625
38,1611.0,4.0275
39,1535.0,3.8375
40,1665.5,4.1638
41,1643.5,4.1088
42,1674.0,4.185
43,1683.0,4.2075
44,1725.0,4.3125
45,1620.5,4.0513
46,1042.0,2.605
47,1142.0,2.855
48,915.5,2.2888
49,678.5,1.6963
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,1434.0,3.585
62,1517.0,3.7925
63,1581.5,3.9538
64,1513.5,3.7838
65,1455.0,3.6375
66,1555.0,3.8875
67,1484.0,3.71
68,1407.0,3.5175
69,877.0,2.1925
70,777.5,1.9438
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,681.5,1.7038
83,885.5,2.2138
84,956.5,2.3913
85,999.5,2.4988
86,1020.5,2.5513
87,917.0,2.2925
88,1020.0,2.55
89,922.5,2.3063
90,944.0,2.36
91,842.0,2.105
92,841.0,2.1025
93,847.5,2.1188
94,807.5,2.0188
95,848.5,2.1213
96,1152.5,2.8813
97,1014.0,2.535
98,964.5,2.4113
99,1058.5,2.6463
100,794.5,1.9863
101,770.5,1.9263
102,839.0,2.0975
103,764.5,1.9113
104,731.5,1.8288
105,982.5,2.4563
106,1059.0,2.6475
107,1043.0,2.6075
108,1021.5,2.5538
109,1071.5,2.6788
110,1071.5,2.6788
111,1005.5,2.5138
112,1123.5,2.8088
113,1126.5,2.8163
114,1289.5,3.2238
115,1296.5,3.2413
116,1303.0,3.2575
117,1491.0,3.7275
118,1551.5,3.8788
119,1555.0,3.8875
120,1642.0,4.105
121,1614.5,4.0363
122,1614.5,4.0363
123,1654.5,4.1363
124,1613.5,4.0338
125,1613.5,4.0338
126,2123.0,5.3075
127,2161.5,5.4038
128,2161.5,5.4038
129,2201.5,5.5038
130,2151.5,5.3788
131,2151.5,5.3788
132,1723.5,4.3088
133,1749.0,4.3725
134,1749.0,4.3725
135,1753.5,4.3838
136,1781.5,4.4538
137,1751.0,4.3775
138,1793.0,4.4825
139,1778.5,4.4463
140,1757.5,4.3938
141,1665.0,4.1625
142,1629.0,4.0725
143,1619.5,4.0488
144,1699.0,4.2475
145,1652.0,4.13
146,1625.5,4.0638
147,1505.5,3.7638
148,1472.5,3.6813
149,1347.5,3.3688
150,733.0,1.8325
151,789.5,1.9738
152,789.5,1.9738
153,833.0,2.0825
154,714.5,1.7863
