frame,x,y
0,60,42
1,60,42
2,60,42
3,60,42
4,60,42
5,60,42
6,60,42
7,60,42
8,60,42
9,60,42
10,60,42
11,60,42
12,60,42
13,60,42
14,60,42
15,60,43
16,60,42
17,60,42
18,60,43
19,60,42
20,60,42
21,60,43
22,60,42
23,60,42
24,60,43
25,60,42
26,60,43
27,60,43
28,60,42
29,60,43
30,60,42
31,61,42
32,60,43
33,60,43
34,60,43
35,59,42
36,59,42
37,59,42
38,59,42
39,59,42
40,59,42
41,60,42
42,60,43
43,61,42
44,60,43
45,59,42
46,59,42
47,59,42
48,59,43
49,60,42
50,60,43
51,59,43
52,61,42
53,61,43
54,61,43
55,60,43
56,60,43
57,61,42
58,61,43
59,61,43
60,61,43
61,61,42
62,61,42
63,61,43
64,61,43
65,61,43
66,61,43
67,60,43
68,61,44
69,61,43
70,60,43
71,61,43
72,61,43
73,61,43
74,61,43
75,61,43
76,61,43
77,61,43
78,61,42
79,61,43
80,61,43
81,61,42
82,61,43
83,61,42
84,60,44
85,60,42
86,60,42
87,60,42
88,60,43
89,60,43
90,59,42
91,60,42
92,59,42
93,59,42
94,60,42
95,59,42
96,60,42
97,59,42
98,60,42
99,60,43
100,59,42
101,60,42
102,60,42
103,60,42
104,59,42
105,60,42
106,60,42
107,60,43
108,59,42
109,60,42
110,60,42
111,60,42
112,59,42
113,60,42
114,60,42
115,60,42
116,60,42
117,59,43
118,60,42
119,60,42
120,60,42
121,60,42
122,59,42
123,60,42
124,60,42
125,60,43
126,60,42
127,59,42
128,60,42
129,60,42
130,60,42
131,60,42
132,59,42
133,60,42
134,60,43
135,60,42
136,60,42
137,59,42
138,60,42
139,60,42
